time,demand
0.0000000E+00,6.5018618E+01
2.0447538E-02,6.5125678E+01
7.0704666E-02,6.5388795E+01
1.2021994E-01,6.5647966E+01
1.6920677E-01,6.5904267E+01
2.1906527E-01,6.6164979E+01
2.6914262E-01,6.6426639E+01
3.1901414E-01,6.6686982E+01
3.6876432E-01,6.6946409E+01
4.1855856E-01,6.7205739E+01
4.6833911E-01,6.7464625E+01
5.1691536E-01,7.5082362E+01
5.6651121E-01,7.5339429E+01
6.1716323E-01,7.5601456E+01
6.6612441E-01,7.5854198E+01
7.1591212E-01,7.6110623E+01
7.6569764E-01,7.6366403E+01
8.1548196E-01,7.6621500E+01
8.6526578E-01,7.6875876E+01
9.1504935E-01,7.7129487E+01
9.6483279E-01,7.7382291E+01
1.0151971E+00,7.7046029E+01
1.0645974E+00,7.7295153E+01
1.1137204E+00,7.7541967E+01
1.1640663E+00,7.7793938E+01
1.2135967E+00,7.8040810E+01
1.2640258E+00,7.8291083E+01
1.3133942E+00,7.8534995E+01
1.3632647E+00,7.8780243E+01
1.4123176E+00,7.9020309E+01
1.4622225E+00,7.9263322E+01
1.5109106E+00,7.3583426E+01
1.5603901E+00,7.3821836E+01
1.6103112E+00,7.4061023E+01
1.6602230E+00,7.4298768E+01
1.7093833E+00,7.4531528E+01
1.7588440E+00,7.4764263E+01
1.8094082E+00,7.5000651E+01
1.8589439E+00,7.5230680E+01
1.9090986E+00,7.5461981E+01
1.9580703E+00,7.5686233E+01
2.0068574E+00,8.2917070E+01
2.0561400E+00,8.3139465E+01
2.1059451E+00,8.3362483E+01
2.1557206E+00,8.3583589E+01
2.2055055E+00,8.3802920E+01
2.2552879E+00,8.4020386E+01
2.3050713E+00,8.4235965E+01
2.3548545E+00,8.4449615E+01
2.4046379E+00,8.4661302E+01
2.4544212E+00,8.4870989E+01
2.5032391E+00,8.5264082E+01
2.5533887E+00,8.5471207E+01
2.6027966E+00,8.5673181E+01
2.6532171E+00,8.5877120E+01
2.7032876E+00,8.6077437E+01
2.7530453E+00,8.6274290E+01
2.8019443E+00,8.6465563E+01
2.8526162E+00,8.6661456E+01
2.9014951E+00,8.6848153E+01
2.9512555E+00,8.7035900E+01
3.0000000E+00,7.7402632E+01
3.0514760E+00,7.7591926E+01
3.1008554E+00,7.7771064E+01
3.1500120E+00,7.7946986E+01
3.2003629E+00,7.8124661E+01
3.2499733E+00,7.8297197E+01
3.3002672E+00,7.8469520E+01
3.3496549E+00,7.8636174E+01
3.3987045E+00,7.8799143E+01
3.4486709E+00,7.8962523E+01
3.4985674E+00,7.9122994E+01
3.5474941E+00,8.6951272E+01
3.5967051E+00,8.7104244E+01
3.6464580E+00,8.7256172E+01
3.6968745E+00,8.7407303E+01
3.7464243E+00,8.7553039E+01
3.7962394E+00,8.7696737E+01
3.8451697E+00,8.7835107E+01
3.8957995E+00,8.7975364E+01
3.9447161E+00,8.8108031E+01
3.9944908E+00,8.8240135E+01
4.0438498E+00,8.7030725E+01
4.0936697E+00,8.7157068E+01
4.1434578E+00,8.7280346E+01
4.1932469E+00,8.7400623E+01
4.2430319E+00,8.7517865E+01
4.2928164E+00,8.7632062E+01
4.3426002E+00,8.7743194E+01
4.3923837E+00,8.7851244E+01
4.4421672E+00,8.7956192E+01
