time,last,Tc,q
0,0,298,12
0.1,0,298,12
0.2,0,298,12
0.3,0,298,12
0.4,0,298,12
0.5,0,298,12
0.6,0,298,12
0.7,0,298,12
0.8,0,298,12
0.9,0,298,12
1,0,298,12
1.1,0,298,12
1.2,0,298,12
1.3,0,298,12
1.4,0,298,12
1.5,0,298,12
1.6,0,298,12
1.7,0,298,12
1.8,0,298,12
1.9,0,298,12
2,0,298,12
2.1,0,298,12
2.2,0,298,12
2.3,0,298,12
2.4,0,298,12
2.5,0,298,12
2.6,0,298,12
2.7,0,298,12
2.8,0,298,12
2.9,0,298,12
3,0,298,12
3.1,0,298,12
3.2,0,298,12
3.3,0,298,12
3.4,0,298,12
3.5,0,298,12
3.6,0,298,12
3.7,0,298,12
3.8,0,298,12
3.9,0,298,12
4,0,298,12
4.1,0,298,12
4.2,0,298,12
4.3,0,298,12
4.4,0,298,12
4.5,0,298,12
4.6,0,298,12
4.7,0,298,12
4.8,0,298,12
4.9,0,298,12
5,0,298,12
5.1,0,298,12
5.2,0,298,12
5.3,0,298,12
5.4,0,298,12
5.5,0,298,12
5.6,0,298,12
5.7,0,298,12
5.8,0,298,12
5.9,0,298,12
6,0,298,12
6.1,0,298,12
6.2,0,298,12
6.3,0,298,12
6.4,0,298,12
6.5,0,298,12
6.6,0,298,12
6.7,0,298,12
6.8,0,298,12
6.9,0,298,12
7,0,298,12
7.1,0,298,12
7.2,0,298,12
7.3,0,298,12
7.4,0,298,12
7.5,0,298,12
7.6,0,298,12
7.7,0,298,12
7.8,0,298,12
7.9,0,298,12
8,0,298,12
8.1,0,298,12
8.2,0,298,12
8.3,0,298,12
8.4,0,298,12
8.5,0,298,12
8.6,0,298,12
8.7,0,298,12
8.8,0,298,12
8.9,0,298,12
9,0,298,12
9.1,0,298,12
9.2,0,298,12
9.3,0,298,12
9.4,0,298,12
9.5,0,298,12
9.6,0,298,12
9.7,0,298,12
9.81,0,298,11
9.93,0,298,10
10.06,0,270,9
10.2,0,270,8
10.35,0,270,7
10.51,0,270,6
10.67,0,270,6
10.83,0,270,6
10.99,0,270,6
11.15,0,270,6
11.31,0,270,6
11.47,0,270,6
11.63,0,270,6
11.79,0,270,6
11.95,0,270,6
12.11,0,270,6
12.27,0,270,6
12.43,0,270,6
12.59,0,270,6
12.75,0,270,6
12.91,0,270,6
13.07,0,270,6
13.23,0,270,6
13.39,0,270,6
13.55,0,270,6
13.71,0,270,6
13.87,0,270,6
14.03,0,270,6
14.19,0,270,6
14.35,0,270,6
14.51,0,270,6
14.67,0,270,6
14.83,0,270,6
14.99,0,270,6
15.15,0,270,6
15.31,0,270,6
15.47,0,270,6
15.63,0,270,6
15.79,0,270,6
15.95,0,270,6
16.11,0,270,6
16.27,0,270,6
16.43,0,270,6
16.59,0,270,6
16.75,0,270,6
16.91,0,270,6
17.07,0,270,6
17.23,0,270,6
17.39,0,270,6
17.55,0,270,6
17.71,0,270,6
17.87,0,270,6
18.03,0,270,6
18.19,0,270,6
18.35,0,270,6
18.51,0,270,6
18.66,0,270,7
18.8,0,270,8
18.93,0,270,9
19.05,0,270,10
19.16,0,270,11
19.26,0,270,12
19.36,0,270,12
19.46,0,270,12
19.56,0,270,12
19.66,0,270,12
19.76,0,270,12
19.86,0,270,12
19.96,0,270,12
20.06,0,270,12
20.16,0,270,12
20.26,0,270,12
20.36,0,270,12
20.46,0,270,12
20.56,0,270,12
20.66,0,270,12
20.76,0,270,12
20.86,0,270,12
20.96,0,270,12
21.06,0,270,12
21.16,0,270,12
21.26,0,270,12
21.36,0,270,12
